country,app,installs,daus,retention_rate_d7,roas_d7,cost
"Bolivia, Plurinational State Of",Tales and Dragon,0,0.375,0.0,0.0,0.0
Botswana,Merge Fever,0,0.875,0.0,0.0,0.0
Bulgaria,Tales and Dragon,0,2.75,0.0,0.0,0.0
Burkina Faso,Merge Fever,0,0.125,0.0,0.0,0.0
Cambodia,Tales and Dragon,0,0.125,0.0,0.0,0.0
Cameroon,Merge HomeTown,0,0.25,0.0,0.0,0.0
Cape Verde,Merge Fever,0,0.375,0.0,0.0,0.0
China,Merge HomeTown,0,0.125,0.0,0.0,0.0
China,Tales and Dragon,0,0.125,0.0,0.0,0.0
Colombia,Tales and Dragon,0,1.125,0.0,0.0,0.0
Cook Islands,Merge Fever,0,0.125,0.0,0.0,0.0
Costa Rica,Tales and Dragon,0,1.125,0.0,0.0,0.0
Cote d'Ivoire,Merge HomeTown,0,0.125,0.0,0.0,0.0
Croatia,Tales and Dragon,0,1.125,0.0,0.0,0.0
Curacao,Merge Fever,0,0.875,0.0,0.0,0.0
Democratic Republic Of Congo,Merge HomeTown,0,0.125,0.0,0.0,0.0
Ecuador,Tales and Dragon,0,0.125,0.0,0.0,0.0
Estonia,Merge HomeTown,0,0.625,0.0,0.0,0.0
Estonia,Tales and Dragon,0,0.75,0.0,0.0,0.0
French Guiana,Merge Fever,0,1.125,0.0,0.0,0.0
French Polynesia,Tales and Dragon,0,0.25,0.0,0.0,0.0
Gabon,Tales and Dragon,0,1.0,0.0,0.0,0.0
Georgia,Merge HomeTown,0,2.375,0.0,0.0,0.0
Ghana,Merge Fever,0,0.375,0.0,0.0,0.0
Ghana,Merge HomeTown,0,0.25,0.0,0.0,0.0
Greenland,Merge Fever,0,1.25,0.0,0.0,0.0
Greenland,Tales and Dragon,0,0.125,0.0,0.0,0.0
Grenada,Merge Fever,0,0.125,0.0,0.0,0.0
Guadeloupe,Merge HomeTown,0,0.5,0.0,0.0,0.0
Guadeloupe,Tales and Dragon,0,0.125,0.0,0.0,0.0
Guam,Merge HomeTown,0,0.25,0.0,0.0,0.0
Guam,Tales and Dragon,0,0.125,0.0,0.0,0.0
Guernsey,Merge Fever,0,0.125,0.0,0.0,0.0
Isle Of Man,Merge Fever,0,0.125,0.0,0.0,0.0
Jamaica,Merge HomeTown,0,0.75,0.0,0.0,0.0
Jamaica,Tales and Dragon,0,0.125,0.0,0.0,0.0
Jersey,Merge Fever,0,0.125,0.0,0.0,0.0
Jordan,Tales and Dragon,0,0.875,0.0,0.0,0.0
Kenya,Tales and Dragon,0,0.375,0.0,0.0,0.0
Kuwait,Merge HomeTown,0,0.5,0.0,0.0,0.0
Kyrgyzstan,Merge Fever,0,4.75,0.0,0.0,0.0
Kyrgyzstan,Tales and Dragon,0,0.375,0.0,0.0,0.0
Liechtenstein,Merge HomeTown,0,0.125,0.0,0.0,0.0
Lithuania,Tales and Dragon,0,1.75,0.0,0.0,0.0
Luxembourg,Merge HomeTown,0,0.625,0.0,0.0,0.0
Macao,Merge Fever,0,0.25,0.0,0.0,0.0
"Macedonia, The Former Yugoslav Republic Of",Merge HomeTown,0,0.25,0.0,0.0,0.0
Mali,Merge Fever,0,0.125,0.0,0.0,0.0
Malta,Merge HomeTown,0,0.25,0.0,0.0,0.0
Malta,Tales and Dragon,0,0.375,0.0,0.0,0.0
Martinique,Tales and Dragon,0,0.125,0.0,0.0,0.0
Mauritius,Merge HomeTown,0,1.0,0.0,0.0,0.0
Mauritius,Tales and Dragon,0,0.375,0.0,0.0,0.0
Moldova,Tales and Dragon,0,0.375,0.0,0.0,0.0
Mongolia,Tales and Dragon,0,1.375,0.0,0.0,0.0
Montenegro,Merge HomeTown,0,1.625,0.0,0.0,0.0
Morocco,Tales and Dragon,0,0.125,0.0,0.0,0.0
